Script started at 07:48:21
08:02:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:37 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:40 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:43 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:46 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:37 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:40 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:43 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:46 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:03:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:37 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:40 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:43 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:46 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:04:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:37 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:40 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:43 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:46 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:05:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
